,actividad,is_apellido1,is_apellido2,is_celular,is_direccion,is_fnac,is_nombre,is_nombrecompleto,is_nrofam,is_presencial,is_profesion,is_recontacto,is_remoto,is_telefono,loc_comuna,loc_provincia,loc_region,medio_inicial,sexo
1380,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1381,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1382,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1384,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,talcahuano,concepcion,bio-bio,finco,masculino
1386,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1387,independiente (no profesional),True,True,True,True,True,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
1388,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,letreros,masculino
1389,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1390,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,letreros,masculino
1391,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1392,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,referidos,femenino
1394,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,femenino
1396,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,femenino
1397,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1398,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,recorrido por el sector,masculino
1399,profesional,True,True,True,False,True,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
1400,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,hualpen,concepcion,bio-bio,internet,masculino
1401,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1402,empleado,True,True,True,True,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
1403,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1407,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1408,independiente (no profesional),True,True,True,False,False,True,True,True,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,referidos,masculino
1414,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
1416,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1417,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
1418,profesional,True,True,True,True,True,True,True,False,False,True,False,False,False,chiguayante,concepcion,bio-bio,referidos,masculino
1419,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,recontacto,masculino
1420,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,hualpen,concepcion,bio-bio,referidos,masculino
1421,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,finco,masculino
1423,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,femenino
1424,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,finco,masculino
1425,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,coronel,concepcion,bio-bio,recontacto,femenino
1428,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,coronel,concepcion,bio-bio,recorrido por el sector,masculino
1429,sin informacion,True,True,True,True,True,True,True,False,False,True,False,False,False,otro,otro,otro,recontacto,masculino
1432,independiente (no profesional),True,True,True,True,False,True,True,True,False,False,False,False,False,otro,otro,otro,referidos,masculino
1433,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,san pedro de la paz,concepcion,bio-bio,letreros,masculino
1434,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,las condes,santiago,metropolitana,recontacto,masculino
1435,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
1436,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
